Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59968768,"Gdzie jesteś, piękny świecie",Sally Rooney,"Rooney, Sally",Jerzy Kozłowski,"=""832809617X""","=""9788328096172""",0,3.56,Wydawnictwo W.A.B.,Paperback,368,2022,2021,,2022/06/22,"to-read, fiction, haule-kasi-gandor","to-read (#2410), fiction (#221), haule-kasi-gandor (#51)",to-read,,,,0,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",3,4.60,St. Martin's Press,Hardcover,440,2015,2015,2022/06/22,2022/06/04,"bookbeat, fiction, 2022","bookbeat (#6), fiction (#210), 2022 (#25)",read,"Przyjemne czytadło, przy którym nie zgrzytają zęby nad nieścisłościami historycznymi. Świetna Stenka jako lektorka.",,,1,0
54998264,"The Cult of We: WeWork, Adam Neumann, and the Great Startup Delusion",Eliot Brown,"Brown, Eliot",Maureen Farrell,"=""0593237110""","=""9780593237113""",0,4.28,Crown,Hardcover,464,2021,2021,,2022/06/22,"to-read, business-economy-capitalism, non-fiction, tech","to-read (#2409), business-economy-capitalism (#29), non-fiction (#471), tech (#8)",to-read,,,,0,0
54645687,Trolle Putina. Prawdziwe historie z frontów rosyjskiej wojny informacyjnej,Jessikka Aro,"Aro, Jessikka",Marta Laskowska,"=""8381297931""","=""9788381297936""",3,4.01,Wydawnictwo SQN,Hardcover,496,2020,2019,2022/03/24,2021/11/22,"artrage-bookrage, non-fiction, owned, rosja, 2022","artrage-bookrage (#290), non-fiction (#253), owned (#915), rosja (#4), 2022 (#26)",read,"Książka traktuje o mega istotnym, zwłaszcza w kontekście inwazji na Ukrainę, temacie i pierwsze parę rozdziałów faktycznie czyta się jak thriller, który dodatkowo bardziej przeraża, bo te praktyki FSB, które teraz sobie uświadamiamy w szerszym kontekście, funkcjonują od bardzo dawna. Niestety, ten nastrój się wytraca, kiedy autorka zaczyna opisywać swój przypadek zostania ofiarą rosyjskich trolli. Robi to w taki sposób, że nie można pozbyć się wrażenia, że przesadza i za bardzo się przejmuje komciami w internecie. Totalnie wierzę autorce, że trolle zniszczyły jej dotychczasowe życie, ale przez ten vibe płatka śniegu można ulec pokusie niepotraktowania jej doświadczenia i naszego zagrożenia z należytą powagą.",,,1,0
50721549,Najlepsze miasto świata. Warszawa w odbudowie 1944-1949,Grzegorz Piątek,"Piątek, Grzegorz",,"=""8328037254""","=""9788328037250""",0,4.46,Wydawnictwo W.A.B.,Hardcover,544,2020,2020,,2020/09/13,"to-read, owned, virtualo, historia, polska-mieszkam-w-polsce, publio","to-read (#1383), owned (#843), virtualo (#59), historia (#46), polska-mieszkam-w-polsce (#49), publio (#79)",to-read,,,,0,0
50542354,How I Learned to Understand the World: A Memoir,Hans Rosling,"Rosling, Hans",Fanny Härgestam,"=""1250266890""","=""9781250266897""",0,4.35,Flatiron Books,Hardcover,256,2020,2017,,2022/06/16,"to-read, amazon, non-fiction, owned, reportaże-biografie","to-read (#2408), amazon (#126), non-fiction (#470), owned (#1107), reportaże-biografie (#139)",to-read,,,,0,0
55530234,Not All Fairy Tales Have Happy Endings: The rise and fall of Sierra On-Line,Ken    Williams,"Williams, Ken",,"=""""","=""""",0,4.06,Lulu,Kindle Edition,410,2020,,,2022/06/15,"to-read, artrage-bookrage, owned","to-read (#2407), artrage-bookrage (#396), owned (#1106)",to-read,,,,0,0
60006280,"Itchy, Tasty. Nieoficjalna historia Resident Evil",Alex Aniel,"Aniel, Alex",,"=""""","=""9788394162559""",0,3.82,Open Beta,Paperback,220,2021,,,2022/06/15,"to-read, artrage-bookrage, owned","to-read (#2406), artrage-bookrage (#395), owned (#1105)",to-read,,,,0,0
55277893,Press Reset: Ruin and Recovery in the Video Game Industry,Jason Schreier,"Schreier, Jason",,"=""1538735490""","=""9781538735497""",0,4.06,Grand Central Publishing,Paperback,320,2021,2021,,2022/06/15,"artrage-bookrage, owned, to-read","artrage-bookrage (#394), owned (#1104), to-read (#2405)",to-read,,,,0,0
25408593,Nie tylko Wiedźmin. Historia polskich gier komputerowych,Marcin Kosman,"Kosman, Marcin",Michał Śledziński,"=""""","=""""",0,3.87,Wydawnictwo Open Beta,Paperback,400,2015,2015,,2022/06/15,"to-read, artrage-bookrage, owned","to-read (#2404), artrage-bookrage (#393), owned (#1103)",to-read,,,,0,0
49187644,Oni migają tymi kolorami w sposób profesjonalny. Narodziny gamedevu z ducha demosceny w Polsce,Piotr Marecki,"Marecki, Piotr",Tomasz TDC Cieślewicz,"=""""","=""9788365739865""",0,3.50,Korporacja Ha!Art,Paperback,304,2019,2019,,2022/06/15,"to-read, artrage-bookrage, non-fiction, owned","to-read (#2403), artrage-bookrage (#392), non-fiction (#469), owned (#1102)",to-read,,,,0,0
18505802,"Console Wars: Sega, Nintendo, and the Battle that Defined a Generation",Blake J. Harris,"Harris, Blake J.",,"=""0062276697""","=""9780062276698""",0,3.96,It Books,Hardcover,576,2014,2014,,2022/06/15,"to-read, artrage-bookrage, non-fiction, owned","to-read (#2402), artrage-bookrage (#391), non-fiction (#468), owned (#1101)",to-read,,,,0,0
41719101,"Krew, pot i piksele. Chwalebne i niepokojące opowieści o tym, jak robi się gry",Jason Schreier,"Schreier, Jason",Bartosz Czartoryski,"=""8381292433""","=""9788381292436""",0,4.21,Sine Qua Non,Paperback,336,2018,2017,,2019/06/13,"to-read, owned, publio, artrage-bookrage, non-fiction","to-read (#529), owned (#575), publio (#52), artrage-bookrage (#390), non-fiction (#467)",to-read,,,,0,0
6503021,Czarodziejska góra,Thomas Mann,"Mann, Thomas","Józef Kramsztyk, Władysław Tatarkiewicz","=""8307005299""","=""9788307005294""",0,4.12,Czytelnik,Paperback,,1982,1924,,2022/06/14,"to-read, fiction","to-read (#2401), fiction (#220)",to-read,,,,0,0
40539136,Lie With Me,Philippe Besson,"Besson, Philippe","Molly Ringwald, Jacques Roy","=""1501197878""","=""9781501197871""",0,4.26,Scribner,Hardcover,149,2019,2017,,2022/06/14,to-read,to-read (#2400),to-read,,,,0,0
28676,American Psycho,Bret Easton Ellis,"Ellis, Bret Easton",,"=""0679735771""","=""9780679735779""",0,3.81,Vintage Contemporaries / Random House,Paperback,399,1991,1991,,2022/06/13,"to-read, amazon, fiction, owned","to-read (#2399), amazon (#125), fiction (#218), owned (#1099)",to-read,,,,0,0
60628678,Okrutna jak Polka,Paulina Młynarska,"Młynarska, Paulina",,"=""8382950531""","=""9788382950533""",0,3.77,Prószyński i S-ka,Paperback,208,2022,2022,,2022/06/13,"to-read, non-fiction, polska-mieszkam-w-polsce, women-patriarchy","to-read (#2398), non-fiction (#466), polska-mieszkam-w-polsce (#67), women-patriarchy (#187)",to-read,,,,0,0
